[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:5944345a4402007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:373956334e02007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:54384f594902007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:4d4a48524e02007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:4f4e43345202007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:573049524202007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:584f5a4f5702007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:4e5335464b02007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:584e37365702007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:324152443002007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:443345454502007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:365742544902007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:393054543102007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:304b55574702007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:4a4152303102007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:574754323702007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:594846424b02007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:594b39493502007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:455535504e02007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:47544f415702007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:554758385702007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:504d4d305a02007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:434735325602007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:424c50335902007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:354d46544e02007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:32395a303402007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:4530354c3902007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:594249303602007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:4842424b4502007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:365654593602007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:5a5936534502007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:444148453802007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:50585a353502007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:453547394102007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:4444574b5902007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:423843364802007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:4b4e31384c02007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:545836355702007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:414a50354f02007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:325434523002007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:4835314f3702007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:474244495a02007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:434430544402007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:3455585a4d02007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:485a42553202007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:473833583102007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:524457533402007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:3057515a4b02007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:415652315702007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:555534313002007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:365a30434602007230000108c00000d00200
